,Source,Model,Accuracy,Precision,Recall,F1 Score,K-Fold Score,Stratified K-Fold Score
0,W100_O25,Logistic Regression,0.35,0.34,0.35,0.32,0.319708764,0.314450574
1,W100_O25,Decision Tree Classifier,0.53,0.53,0.53,0.53,0.620816001,0.618992093
2,W100_O25,Random Forest Classifier,0.65,0.65,0.65,0.64,0.734933161,0.736940759
3,W100_O25,Gaussian Naive Bayes,0.22,0.24,0.22,0.18,0.20014846,0.200095355
4,W100_O25,Support Vector Classifier,0.59,0.57,0.59,0.58,0.168097657,0.169947362
5,W100_O25,K-Nearest Neighbors,0.52,0.54,0.52,0.5,0.358865856,0.3600549
6,W100_O25,AdaBoost Classifier,0.35,0.4,0.35,0.29,0.331651024,0.331466335
7,W100_O25,Gradient Boost,0.62,0.62,0.62,0.62,0.696198428,0.694876522
8,W100_O25,XGBoost Classifier,0.63,0.63,0.63,0.62,0.67918212,0.67897064
9,W100_O25,Artificial Neural Network,0.51,0.5,0.51,0.5,0.258831,0.251036
10,W100_O50,Logistic Regression,0.36,0.35,0.36,0.33,0.183764755,0.184046832
11,W100_O50,Decision Tree Classifier,0.57,0.57,0.57,0.57,0.663171259,0.660404202
12,W100_O50,Random Forest Classifier,0.66,0.67,0.66,0.66,0.74269054,0.74332494
13,W100_O50,Gaussian Naive Bayes,0.25,0.24,0.25,0.21,0.132990218,0.132303009
14,W100_O50,Support Vector Classifier,0.62,0.61,0.62,0.61,0.181438515,0.180081577
15,W100_O50,K-Nearest Neighbors,0.55,0.56,0.55,0.53,0.377310918,0.376676467
16,W100_O50,AdaBoost Classifier,0.26,0.24,0.26,0.22,0.309282405,0.312789641
17,W100_O50,Gradient Boost,0.63,0.62,0.63,0.62,0.671154927,0.670449923
18,W100_O50,XGBoost Classifier,0.66,0.66,0.66,0.66,0.70102746,0.699053547
19,W100_O50,Artificial Neural Network,0.53,0.52,0.53,0.52,0.275673,0.265328
20,W200_O25,Logistic Regression,0.39,0.39,0.39,0.37,0.184396033,0.18444904
21,W200_O25,Decision Tree Classifier,0.5,0.51,0.5,0.5,0.580060423,0.579477397
22,W200_O25,Random Forest Classifier,0.62,0.62,0.62,0.61,0.69740817,0.696401123
23,W200_O25,Gaussian Naive Bayes,0.24,0.27,0.24,0.21,0.239041713,0.236603593
24,W200_O25,Support Vector Classifier,0.58,0.57,0.58,0.57,0.11575767,0.11755976
25,W200_O25,K-Nearest Neighbors,0.49,0.51,0.49,0.47,0.336460483,0.340912703
26,W200_O25,AdaBoost Classifier,0.23,0.23,0.23,0.21,0.25934171,0.25345842
27,W200_O25,Gradient Boost,0.59,0.59,0.59,0.59,0.65813325,0.66242646
28,W200_O25,XGBoost Classifier,0.63,0.62,0.63,0.62,0.69470504,0.6958711
29,W200_O25,Artificial Neural Network,0.49,0.48,0.49,0.48,0.227964,0.234165
30,W200_O50,Logistic Regression,0.39,0.39,0.39,0.37,0.176068237,0.17532352
31,W200_O50,Decision Tree Classifier,0.54,0.54,0.54,0.54,0.633292013,0.63747562
32,W200_O50,Random Forest Classifier,0.66,0.66,0.66,0.65,0.74398171,0.742669827
33,W200_O50,Gaussian Naive Bayes,0.27,0.28,0.27,0.23,0.159014987,0.15841247
34,W200_O50,Support Vector Classifier,0.61,0.61,0.61,0.61,0.125084377,0.12696325
35,W200_O50,K-Nearest Neighbors,0.52,0.55,0.52,0.51,0.359262633,0.359581527
36,W200_O50,AdaBoost Classifier,0.25,0.28,0.25,0.23,0.272008703,0.271405953
37,W200_O50,Gradient Boost,0.63,0.63,0.63,0.62,0.68714805,0.685091593
38,W200_O50,XGBoost Classifier,0.66,0.66,0.66,0.66,0.716114417,0.71852519
39,W200_O50,Artificial Neural Network,0.52,0.51,0.52,0.51,.0.252224,0.2477923
40,W300_O25,Logistic Regression,0.41,0.41,0.41,0.39,0.198911823,0.20043226
41,W300_O25,Decision Tree Classifier,0.48,0.47,0.48,0.47,0.582086203,0.567677697
42,W300_O25,Random Forest Classifier,0.6,0.6,0.6,0.59,0.697110623,0.694788617
43,W300_O25,Gaussian Naive Bayes,0.26,0.28,0.26,0.23,0.15440678,0.17713802
44,W300_O25,Support Vector Classifier,0.57,0.57,0.57,0.57,0.099255377,0.105419073
