0,1
"# 1. Logistic Regression on W100_O25_Features

evaluate_model.logistic_regression_model()","#------------------- #1. Logistic Regression Model --------------------#

#-------- Grid Search --------#

Best parameters:  {'C': 100, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}

Best score:  0.3515655965120888



#---------- Random Search -----------#

Best parameters:  {'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 100, 'C': 100}

Best score:  0.3515655965120888

Logistic Regression Metrics: 

              precision    recall  f1-score   support



           0       0.26      0.43      0.32      2021

           1       0.37      0.57      0.45      2114

           2       0.26      0.24      0.25      2278

           3       0.22      0.51      0.31      2224

           4       0.32      0.33      0.33      2270

           5       0.32      0.38      0.35      1974

           6       0.27      0.12      0.16      2084

           7       0.16      0.13      0.14      2222

           8       0.60      0.80      0.69      1650

           9       0.87      0.73      0.80      1698

          10       0.61      0.71      0.66      1996

          11       0.23      0.20      0.21      2172

          12       0.27      0.05      0.09      2137

          13       0.28      0.11      0.16      1788

          14       0.25      0.04      0.07      1650



    accuracy                           0.35     30278

   macro avg       0.35      0.36      0.33     30278

weighted avg       0.34      0.35      0.32     30278



K-fold cross-validation scores: [0.30383091 0.32655218 0.32021136 0.31651255 0.32496697 0.31545575

 0.31281374 0.3147463  0.34196617 0.32003171]

Mean K-fold cross-validation score: 0.31970876470768944

Straified cross validation scores: [0.31413474 0.32549538 0.30356671 0.30805812 0.32628798 0.29775429

 0.31492734 0.32161734 0.32082452 0.31183932]

Mean Straified cross-validation score: 0.31445057546060584
"
"# 2. Decision Tree Classifier on W100_O25_Features

evaluate_model.decission_tree_classifier_model()","#-------------------- #2. Decission Tree Classifier Model --------------------#

#-------- Grid Search --------#

Best parameters:  {'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 5}

Best score:  0.4975558197912538



#---------- Random Search -----------#

Best parameters:  {'min_samples_split': 2, 'max_depth': 20, 'criterion': 'entropy'}

Best score:  0.5001981767736822

Decission Tree Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.68      0.69      0.69      2021

           1       0.83      0.74      0.79      2114

           2       0.56      0.63      0.60      2278

           3       0.62      0.59      0.61      2224

           4       0.51      0.48      0.49      2270

           5       0.34      0.34      0.34      1974

           6       0.28      0.27      0.27      2084

           7       0.40      0.41      0.41      2222

           8       0.64      0.69      0.67      1650

           9       0.83      0.83      0.83      1698

          10       0.63      0.63      0.63      1996

          11       0.45      0.44      0.44      2172

          12       0.42      0.40      0.41      2137

          13       0.41      0.43      0.42      1788

          14       0.36      0.38      0.37      1650



    accuracy                           0.53     30278

   macro avg       0.53      0.53      0.53     30278

weighted avg       0.53      0.53      0.53     30278



K-fold cross-validation scores: [0.61558785 0.61188904 0.62034346 0.62219287 0.60634082 0.61109643

 0.63513871 0.64217759 0.62817125 0.61522199]

Mean K-fold cross-validation score: 0.6208159992291815

Straified cross validation scores: [0.62985469 0.61294584 0.62245707 0.62166446 0.61955086 0.61532365

 0.61743725 0.61020085 0.6205074  0.61997886]

Mean Straified cross-validation score: 0.6189920921295533
"
"# 3. Random Forest Classifier on W100_O25_Features

evaluate_model.random_forest_classifier_model()","#-------------------- #3. Random Forest Classifier Model --------------------#

#-------- Grid Search --------#

Best parameters:  {'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 500}

Best score:  0.6364116792178623



#---------- Random Search -----------#

Best parameters:  {'n_estimators': 200, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}

Best score:  0.6356189721231339

Random Forest Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.75      0.85      0.80      2021

           1       0.87      0.87      0.87      2114

           2       0.66      0.74      0.70      2278

           3       0.68      0.69      0.69      2224

           4       0.59      0.69      0.64      2270

           5       0.40      0.61      0.49      1974

           6       0.49      0.32      0.39      2084

           7       0.49      0.54      0.51      2222

           8       0.72      0.85      0.78      1650

           9       0.91      0.88      0.89      1698

          10       0.68      0.82      0.74      1996

          11       0.72      0.50      0.59      2172

          12       0.70      0.41      0.51      2137

          13       0.58      0.50      0.54      1788

          14       0.55      0.44      0.49      1650



    accuracy                           0.65     30278

   macro avg       0.65      0.65      0.64     30278

weighted avg       0.65      0.65      0.64     30278



K-fold cross-validation scores: [0.74081902 0.7347424  0.74161162 0.71889036 0.72575958 0.72892999

 0.73844122 0.75528541 0.74894292 0.71590909]

Mean K-fold cross-validation score: 0.7349331608301379

Straified cross validation scores: [0.74161162 0.73923382 0.73632761 0.73949802 0.7331572  0.73896962

 0.732893   0.73546512 0.72991543 0.74233615]

Mean Straified cross-validation score: 0.7369407586975403
"
"# 4. Gaussian Naive Bayes on W100_O25_Features

evaluate_model.gaussian_naive_bias_classifier_model()","#-------------------- #4. Gaussian Naive Bias Classifier Model --------------------#

#-------- Grid Search --------#

Best parameters:  {'var_smoothing': 1e-09}

Best score:  0.2212973972783723



#---------- Random Search -----------#

Best parameters:  {'var_smoothing': 1e-09}

Best score:  0.2212973972783723

Gaussian Naive Bias Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.11      0.88      0.20      2021

           1       0.10      0.02      0.03      2114

           2       0.11      0.07      0.09      2278

           3       0.09      0.04      0.05      2224

           4       0.23      0.13      0.16      2270

           5       0.30      0.18      0.22      1974

           6       0.16      0.07      0.10      2084

           7       0.11      0.06      0.08      2222

           8       0.52      0.65      0.58      1650

           9       0.70      0.70      0.70      1698

          10       0.49      0.57      0.52      1996

          11       0.24      0.00      0.01      2172

          12       0.21      0.01      0.03      2137

          13       0.17      0.06      0.09      1788

          14       0.14      0.03      0.05      1650



    accuracy                           0.22     30278

   macro avg       0.25      0.23      0.19     30278

weighted avg       0.24      0.22      0.18     30278



K-fold cross-validation scores: [0.19286658 0.20290621 0.20845443 0.19048877 0.19682959 0.18996037

 0.2007926  0.19714588 0.2140592  0.20798097]

Mean K-fold cross-validation score: 0.20014845934072686

Straified cross validation scores: [0.19762219 0.18837517 0.19260238 0.19815059 0.2005284  0.20898283

 0.20554822 0.2095666  0.2032241  0.19635307]

Mean Straified cross-validation score: 0.2000953538642857
"
"# 5. Support Vector Classifier on W100_O25_Features

evaluate_model.support_vector_classifier_model()","#-------------------- #5. Support Vector Classifier Model --------------------#

#-------- Grid Search --------#

Best parameters:  {'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}

Best score:  0.5768265292641036



#---------- Random Search -----------#

Best parameters:  {'kernel': 'rbf', 'gamma': 0.1, 'C': 1000}

Best score:  0.5768265292641036

Support Vector Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.75      0.78      0.76      2021

           1       0.83      0.85      0.84      2114

           2       0.56      0.72      0.63      2278

           3       0.59      0.68      0.63      2224

           4       0.59      0.61      0.60      2270

           5       0.38      0.41      0.39      1974

           6       0.41      0.33      0.37      2084

           7       0.49      0.46      0.47      2222

           8       0.72      0.78      0.75      1650

           9       0.73      0.88      0.80      1698

          10       0.63      0.77      0.70      1996

          11       0.51      0.47      0.49      2172

          12       0.42      0.26      0.32      2137

          13       0.55      0.43      0.48      1788

          14       0.49      0.39      0.44      1650



    accuracy                           0.59     30278

   macro avg       0.58      0.59      0.58     30278

weighted avg       0.57      0.59      0.58     30278



K-fold cross-validation scores: [0.16882431 0.16380449 0.17384412 0.16882431 0.15402906 0.17516513

 0.18018494 0.16014799 0.1717759  0.16437632]

Mean K-fold cross-validation score: 0.16809765654455527

Straified cross validation scores: [0.17807133 0.17040951 0.17225892 0.17305152 0.16908851 0.1669749

 0.16195509 0.1609408  0.16120507 0.18551797]

Mean Straified cross-validation score: 0.16994736232094532
"
"# 6. K-Nearest Neighbors on W100_O25_Features

evaluate_model.knn_classifier_model()","#-------------------- #6. K-Nearest Neighbors Classifier Model --------------------#

#-------- Grid Search --------#

Best parameters:  {'metric': 'minkowski', 'n_neighbors': 100, 'p': 1, 'weights': 'distance'}

Best score:  0.49742370194213237



#---------- Random Search -----------#

Best parameters:  {'weights': 'distance', 'p': 1, 'n_neighbors': 100, 'metric': 'minkowski'}

Best score:  0.49742370194213237

K-Nearest Neighbors Metrics: 

              precision    recall  f1-score   support



           0       0.64      0.73      0.68      2021

           1       0.72      0.79      0.75      2114

           2       0.44      0.65      0.52      2278

           3       0.47      0.73      0.57      2224

           4       0.55      0.50      0.52      2270

           5       0.33      0.40      0.36      1974

           6       0.37      0.17      0.24      2084

           7       0.31      0.38      0.34      2222

           8       0.49      0.86      0.62      1650

           9       0.92      0.70      0.80      1698

          10       0.55      0.67      0.60      1996

          11       0.59      0.40      0.47      2172

          12       0.75      0.28      0.41      2137

          13       0.48      0.29      0.37      1788

          14       0.51      0.20      0.28      1650



    accuracy                           0.52     30278

   macro avg       0.54      0.52      0.50     30278

weighted avg       0.54      0.52      0.50     30278



K-fold cross-validation scores: [0.35719947 0.35719947 0.36089828 0.36908851 0.34742404 0.35587847

 0.3682959  0.3615222  0.36707188 0.34408034]

Mean K-fold cross-validation score: 0.3588658566557095

Straified cross validation scores: [0.3675033  0.3653897  0.36116248 0.37569353 0.33976222 0.35799207

 0.35508587 0.34936575 0.35729387 0.37130021]

Mean Straified cross-validation score: 0.3600548998634311
"
"# 7. AdaBoost Classifier on W100_O25_Features

evaluate_model.ada_boost_classifier_model()","#-------------------- #7. Ada-Boost Classifier Model --------------------#

#-------- Grid Search --------#

Best parameters:  {'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 0.01, 'n_estimators': 100}

Best score:  0.3361078081648831



#---------- Random Search -----------#

Best parameters:  {'n_estimators': 100, 'learning_rate': 0.01, 'estimator': DecisionTreeClassifier(max_depth=3)}

Best score:  0.3361078081648831

Ada-Boost Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.34      0.61      0.44      2021

           1       0.76      0.28      0.41      2114

           2       0.27      0.54      0.36      2278

           3       0.36      0.47      0.41      2224

           4       0.32      0.47      0.38      2270

           5       0.26      0.66      0.37      1974

           6       0.16      0.02      0.04      2084

           7       0.23      0.23      0.23      2222

           8       0.71      0.66      0.69      1650

           9       0.84      0.01      0.02      1698

          10       0.37      0.81      0.51      1996

          11       0.50      0.26      0.34      2172

          12       0.44      0.02      0.04      2137

          13       0.32      0.05      0.09      1788

          14       0.24      0.03      0.05      1650



    accuracy                           0.35     30278

   macro avg       0.41      0.34      0.29     30278

weighted avg       0.40      0.35      0.29     30278



K-fold cross-validation scores: [0.32391017 0.32470277 0.33685601 0.32047556 0.34266843 0.32972259

 0.34689564 0.30919662 0.34963002 0.33245243]

Mean K-fold cross-validation score: 0.33165102454609685

Straified cross validation scores: [0.32206077 0.3347424  0.32338177 0.32945839 0.34768824 0.32945839

 0.32708058 0.33165962 0.32267442 0.34645877]

Mean Straified cross-validation score: 0.3314663353450948
"
"# 8. Gradient Boost on W100_O25_Features

evaluate_model.gradient_boost_model()","#-------------------- #9. Gradient Boost Classifier Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42}

Best score:  0.6123662306777646



#---------- Random Search -----------#

Best parameters:  {'random_state': 42, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.2}

Best score:  0.6123662306777646

Gradient Boost Classifier Metrics: 

              precision    recall  f1-score   support



           0       0.75      0.82      0.78      2021

           1       0.86      0.84      0.85      2114

           2       0.64      0.70      0.66      2278

           3       0.66      0.68      0.67      2224

           4       0.62      0.64      0.63      2270

           5       0.40      0.52      0.45      1974

           6       0.38      0.33      0.36      2084

           7       0.47      0.52      0.49      2222

           8       0.76      0.82      0.79      1650

           9       0.89      0.85      0.87      1698

          10       0.71      0.79      0.75      1996

          11       0.59      0.50      0.54      2172

          12       0.56      0.43      0.48      2137

          13       0.54      0.48      0.51      1788

          14       0.48      0.40      0.44      1650



    accuracy                           0.62     30278

   macro avg       0.62      0.62      0.62     30278

weighted avg       0.62      0.62      0.62     30278



K-fold cross-validation scores: [0.69379128 0.69511229 0.7001321  0.69035667 0.69247028 0.67556143

 0.70409511 0.71538055 0.7095666  0.68551797]

Mean K-fold cross-validation score: 0.6961984270836533

Straified cross validation scores: [0.6998679  0.69669749 0.6990753  0.70700132 0.69194188 0.69801849

 0.67978864 0.6897463  0.69053911 0.69608879]

Mean Straified cross-validation score: 0.6948765224361211
"
"# 9. XGBoost Classifier on W100_O25_Features

evaluate_model.xg_boost_classifier_model()","-------------------- #8. XG Boost Classifier Model --------------------#

#---------- Grid Search ------------#
"
"# 1. Logistic Regression on W100_O50_Features

evaluate_model.logistic_regression_model()","#------------------- #1. Logistic Regression Model --------------------#

#---------- Grid Search ------------#

Best parameters:  {'C': 100, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}

Best score:  0.3527498002302693



#---------- Random Search -----------#

Best parameters:  {'solver': 'lbfgs', 'penalty': 'l2', 'max_iter': 500, 'C': 100}

Best score:  0.3527498002302693

Logistic Regression Metrics: 

              precision    recall  f1-score   support



           0       0.28      0.39      0.32      3031

           1       0.38      0.63      0.48      3168

           2       0.27      0.27      0.27      3416

           3       0.22      0.58      0.32      3333

           4       0.34      0.33      0.33      3404

           5       0.36      0.38      0.37      2958

           6       0.29      0.14      0.19      3123

           7       0.16      0.15      0.16      3334

           8       0.61      0.78      0.69      2473

           9       0.88      0.75      0.81      2536

          10       0.66      0.68      0.67      2993

          11       0.24      0.10      0.14      3257

          12       0.21      0.06      0.10      3213

          13       0.31      0.16      0.21      2681

          14       0.25      0.07      0.11      2473



    accuracy                           0.36     45393

   macro avg       0.36      0.36      0.34     45393

weighted avg       0.35      0.36      0.33     45393



K-fold cross-validation scores: [0.18784141 0.17712372 0.18452591 0.18963694 0.18029609 0.17976736

 0.18082481 0.18505464 0.19862531 0.17395136]

Mean K-fold cross-validation score: 0.18376475429309672

Straified cross validation scores: [0.18273128 0.18470215 0.1799436  0.18470215 0.18205851 0.18540712

 0.17976736 0.19721537 0.18382094 0.18011984]

Mean Straified cross-validation score: 0.18404683237085773
"
